student_id,gpa,research_papers,hackathons,projects
247,8.40704011451453,244,472,610
362,7.8616453115828335,341,392,862
66,6.175756017910317,776,624,250
29,6.388998025795445,844,552,202
80,5.628690236480907,581,696,429
414,2.390607109759003,880,422,724
474,1.080100660212338,367,105,350
431,5.774040951393545,786,74,100
391,6.450929553015158,262,193,221
256,9.107103041838855,356,622,226
24,6.216411798028275,698,606,622
93,6.514656735351309,39,575,302
171,8.590315668145195,549,631,246
14,3.6127686246763915,760,678,602
417,8.830903406720608,818,337,789
350,3.2644862798042595,744,554,173
190,9.305476071080193,971,608,492
154,5.813038019929081,41,879,538
228,9.101356517989188,731,692,35
261,9.405159004963934,657,722,196
182,5.303569879150018,994,435,82
1,8.407183061586693,995,386,565
415,6.106310332426801,351,955,775
425,2.541878218529746,404,781,865
497,9.23027751664631,857,514,596
495,7.087717989925295,30,541,855
293,7.728762667160481,264,413,546
482,6.562089629936963,702,465,879
372,6.557732800487429,216,275,646
310,4.7702500354498625,116,689,633
399,1.065244774101302,962,971,718
153,4.59844091697596,200,450,203
19,5.967596737435088,694,341,159
139,6.048058733111247,657,36,496
251,8.45888303220272,299,634,240
438,4.709497058298439,925,897,835
135,1.1388078599702567,235,508,721
288,2.4583139359019697,701,457,279
499,4.476131027098745,503,338,632
475,2.6418609123211354,915,132,93
301,4.669695819495246,731,454,585
466,7.148184888530523,602,921,548
431,6.2917209474835545,440,409,15
152,1.1415709145367146,296,992,294
302,6.147490614326671,897,55,795
316,6.096901480574161,708,219,390
404,2.1067102514207363,944,874,172
66,1.6549665343482047,653,806,715
498,9.94516955409199,657,251,56
99,7.631013113539666,222,221,886
490,1.9192070439457893,655,170,666
174,4.093195826280862,944,615,176
288,9.349306168034673,396,657,69
61,8.131755854468793,535,621,740
396,4.862504061311483,855,165,32
432,1.719938609516248,392,523,154
448,9.953713764436543,200,670,532
309,9.426748941419646,214,225,133
306,5.779416573932394,896,318,917
337,6.572929865680635,849,727,994
330,5.062050682725385,732,214,601
485,4.945915162563324,766,424,106
277,1.335478285793215,689,427,775
482,8.161069381516427,959,665,243
165,8.411740008974448,648,226,560
387,7.5729359143879265,355,588,69
339,1.7211959138512611,479,716,350
419,9.209852323168889,839,93,613
188,5.368563340744004,390,678,489
214,1.625691398512572,594,855,768
14,5.560857685981318,780,4,8
87,4.0705329538322985,327,367,368
218,9.137654368532822,168,305,950
125,3.1718134060502052,643,462,396
108,1.568471617763862,258,35,714
123,5.794714559335262,25,735,374
273,3.9637462669052184,742,111,502
474,1.5637304068077356,91,440,122
293,5.386287562316284,294,877,704
202,2.1340673563536257,520,958,422
369,7.741605679038912,310,8,341
72,4.8765913541428745,197,414,435
189,3.5515719389077276,636,893,176
291,2.5894695289898664,822,569,504
337,9.147949822479859,835,179,397
172,9.146405722945929,210,852,211
95,5.390676113078371,96,441,243
7,5.162078282563016,586,48,193
354,3.627875550882891,33,220,273
75,8.55310260807164,52,753,230
15,9.81408274709247,902,71,355
228,5.705304483883083,435,232,637
269,9.60070225968957,881,28,367
266,4.978163715684786,706,772,210
397,2.182042067637667,978,383,312
253,5.219794636592269,452,855,616
267,6.055215717526153,780,689,322
45,3.9098257897421718,718,771,756
261,6.2154386611655354,163,243,823
459,3.4068400578107685,472,161,336
314,2.3398373355157673,691,482,224
18,4.64337239600718,661,338,685
239,4.072473492240533,608,851,736
415,6.4689605354797095,276,98,604
454,3.102202947018668,449,370,234
438,8.197726140962914,215,175,993
338,9.531068002339453,316,318,674
34,7.61794388666749,883,945,814
401,5.938331923913211,860,30,680
196,4.495655469829217,605,992,748
387,5.17170694982633,629,316,80
187,5.915437935153022,420,804,494
41,5.18192358664237,747,861,31
425,9.15017927880399,675,800,273
420,2.0199475791305304,441,226,674
49,3.7085758545435965,747,191,567
433,9.526146907359362,356,696,436
215,5.933750201715156,768,246,568
216,8.419021772686392,300,674,317
69,2.059509066166356,960,465,338
173,1.7281713378615677,397,481,762
439,6.431449616095051,389,433,337
72,1.8373036270495504,105,438,163
322,5.517123494762927,159,290,158
388,4.482964650262147,542,671,400
283,6.720127811655402,753,992,616
173,2.674475046340376,679,683,32
442,2.5519315716810524,882,366,831
434,3.6193744633346796,161,425,529
6,1.5409687745850533,928,674,305
62,1.6088592461310327,106,346,585
366,9.266955090453848,233,734,822
218,6.63051544316113,3,712,801
51,4.801673696143553,392,869,87
128,1.0760618799831718,213,531,884
179,2.9923463189043105,561,103,782
16,3.578686840366572,871,450,255
226,2.8838418216910213,651,143,50
419,7.863041671691462,450,695,478
430,7.481193260056898,597,931,94
67,4.863924138015136,71,286,583
201,8.323056210763752,470,59,601
327,5.702505582012236,896,380,877
210,9.271086258115247,448,488,73
234,7.468151865294203,797,43,5
368,2.919940769672394,823,239,121
167,5.182481012539938,203,863,678
322,2.4522015147376806,960,734,339
73,3.9031836909707636,122,513,259
471,1.4884400328155607,196,416,746
39,1.2342988008167595,344,984,532
316,3.978816354647279,902,384,576
427,2.811532161431387,973,86,5
100,2.4771726250182837,471,680,619
214,6.869705101242289,452,690,107
328,2.3629235108383,695,750,560
449,1.7703252993524075,30,888,426
425,6.3867802559398115,915,165,427
126,7.589075319236144,415,89,543
471,4.343416770920157,200,953,549
482,8.693915850948542,512,623,704
175,9.236880488693714,701,696,685
36,9.87054900941439,56,455,181
285,2.586423891130835,305,499,34
346,7.337339976336807,958,396,424
90,2.871765242656693,137,461,517
54,2.770942904287949,440,842,8
152,2.8433631386142224,441,624,194
459,7.583281416678801,56,118,303
190,8.091673557879403,428,813,782
462,7.453918205574155,987,763,848
469,3.7863653767853975,523,340,402
391,8.022901167627424,603,113,583
475,9.651544795138761,500,161,573
317,1.9526280367281288,773,791,158
88,5.278869154397398,701,75,398
370,2.315036572748795,243,423,32
140,6.864989781985059,371,528,39
40,6.769227430922911,926,870,892
252,8.429735839832574,781,259,790
434,4.0265819625929,136,691,670
306,7.772396441083401,997,639,22
257,1.8310949124861509,234,26,950
335,2.003739327425137,988,975,65
366,1.1753102100919932,773,545,450
169,3.9509305611718446,14,684,607
238,3.7835761203896254,902,761,305
354,8.981694448273629,456,953,347
79,7.723156131571159,205,3,753
252,3.7261195424944162,465,642,1000
3,6.61330850655213,451,947,579
240,6.853356387699023,324,159,909
276,1.171462730038911,198,611,166
207,1.8693562636617571,932,669,930
250,5.844832592410967,746,139,889
7,4.314433067571372,225,752,735
294,3.9588959235697985,192,124,314
463,2.7666534422896802,74,607,121
70,7.939099844777957,94,499,174
150,2.8827568346168846,266,199,172
378,9.31357284495607,29,562,578
385,9.822739507537335,264,510,883
470,4.9587695193476975,721,623,814
41,7.164726517861709,873,630,961
11,6.749545902945101,834,467,859
488,5.340607656864449,889,315,457
190,8.816121331648901,395,720,908
89,9.507084255106747,379,69,495
100,4.4289914111141115,379,898,52
199,4.844346447149292,255,288,251
339,7.091225648764521,340,531,225
342,7.15279430244118,171,166,459
120,4.347134951734915,283,654,135
290,6.909264121903107,570,189,459
399,8.103094695135951,613,674,644
380,4.779569936450571,648,18,763
402,4.731537597486749,700,953,925
434,1.2465771238785237,472,249,246
384,3.4866096747573465,733,827,202
241,9.600201327819377,915,990,429
186,9.101395303150639,669,880,319
456,1.4735336604062468,350,898,672
349,2.8780309562571347,463,401,671
10,5.185451992787421,95,372,639
340,9.358803218463436,957,29,253
63,6.225156252039596,454,167,591
152,2.9987888026516885,878,98,705
174,1.9555602255277336,745,890,135
229,2.2738806675188243,348,528,691
76,9.7590246591717,636,501,970
96,5.311217468930408,690,26,344
374,9.160759157966822,239,425,266
19,5.236583567690104,545,475,625
178,5.327558345394209,331,345,194
212,2.3960912821348757,737,291,562
462,4.775531428633258,925,617,533
108,6.708661148091778,383,25,960
478,5.017478917259723,601,508,134
16,4.557923664571717,310,66,454
206,9.421172404661775,289,674,166
189,9.061497115064412,744,132,399
470,4.1094534494914114,246,799,689
188,3.6194745956454426,725,688,972
293,9.418374959146604,106,238,320
402,9.982134855585173,103,52,810
391,8.9935021630954,467,334,980
29,6.389772180467844,645,597,781
146,5.218180940020829,491,801,504
297,2.972918953280896,1000,983,923
223,6.806314035318792,357,273,34
193,5.705824258271605,761,151,288
422,8.93208412383683,87,839,14
258,2.071636552689597,527,17,893
203,7.745643466012552,59,696,847
136,1.0450289584696293,736,569,672
338,8.714105900609866,752,210,851
102,6.868030946003273,555,952,717
60,3.6961735191289335,926,897,679
267,4.2231381284072995,864,851,155
418,1.17531534191221,48,461,528
247,3.9454331914894283,265,232,687
376,8.493711069924757,644,960,729
169,1.704225929453969,545,806,110
277,8.55432282667607,75,378,736
30,3.4101178157143295,422,464,29
38,3.474272827152163,460,867,961
465,4.684634615201503,278,466,933
72,5.401633121306077,719,206,495
304,4.858490081038326,178,885,793
343,5.936184570426121,427,940,14
161,5.1274584115017205,424,826,19
146,8.716265567112714,572,1,586
419,2.091379792429507,16,854,276
142,6.254756855079904,776,266,574
455,9.343472422100604,306,531,751
223,5.234095701482147,970,676,989
430,4.090933829313144,461,228,639
215,7.440472197486088,465,24,497
151,1.6101731304079294,785,339,388
352,3.7830367973074317,945,456,781
242,5.076345987152308,709,300,491
204,9.380135599989444,700,470,471
472,2.60484389658086,39,274,143
159,4.638632771326229,834,176,795
412,4.394732238491997,38,398,849
117,8.917389784241095,200,370,206
334,9.39731248957105,983,324,670
146,2.902065422385931,70,324,664
318,4.890131966676563,360,352,508
445,8.801579157123342,41,633,657
2,2.0356809205841273,27,76,32
9,3.816623445833102,695,521,594
393,7.397086289012805,912,764,264
196,5.296253812499344,162,439,718
126,8.123667173320428,623,917,849
399,1.9224444995634258,347,498,800
286,9.329534092452377,591,506,945
163,5.123141628690064,201,641,751
442,8.630899759940803,161,148,377
248,8.61997061735019,813,180,96
389,3.9840894350782037,725,86,529
324,2.6285892750602216,368,441,131
25,9.98226139927283,984,761,62
107,6.139932013116777,78,312,816
4,5.134494216646999,349,296,758
349,2.732643836643547,295,234,171
467,9.8681733768899,800,382,365
251,1.2446997305378318,757,509,938
129,9.505257228622213,608,901,619
193,1.0857037843670696,159,561,358
121,9.420165396528319,37,528,810
447,9.21067126444541,69,770,882
40,3.2428688590880483,981,310,209
97,9.963188261259347,390,778,903
72,6.88968694023788,853,395,412
466,9.874683540314436,734,577,615
430,2.1741970609873533,223,491,934
451,4.8366310079582036,332,12,136
370,3.018533450551331,332,818,147
405,4.55537408660166,265,988,256
433,6.216046925401315,52,432,690
269,3.809994758106768,218,138,906
214,1.692546899896115,779,385,302
225,4.317714505130425,891,637,461
337,8.960390554741025,691,535,605
98,8.553670658031479,38,808,484
440,7.087760475696996,69,649,525
465,1.034425700083375,164,33,916
488,2.207682852167636,463,967,970
187,2.735232505714521,159,238,217
404,5.165112246526405,224,818,102
443,4.845392305403948,239,119,585
352,9.905958531191573,411,730,794
98,7.208477143896744,51,959,472
393,2.3436335476581007,138,5,487
280,8.688588422257453,587,871,705
374,5.852921663317829,365,172,623
363,7.134049160871655,711,217,243
89,9.789338247850537,775,419,347
162,6.3890118601266295,916,959,698
285,1.1116389245726168,309,805,13
26,7.721085644327104,64,852,291
246,3.321417811093852,651,442,218
421,7.062912958674133,131,767,225
81,1.215098176151514,282,247,251
265,9.265823101857677,178,385,369
59,7.36228468362242,645,181,798
52,5.530092488741502,721,627,239
492,1.0653469976969063,103,479,620
16,1.4553942119237036,216,654,267
32,3.696092857979238,622,693,257
94,2.009124478092417,240,22,763
97,6.320772127248347,170,706,268
15,3.563851230079308,628,897,860
355,2.4778397805057466,932,255,425
80,2.5875811763107777,28,615,322
260,6.891033178661019,487,383,738
401,2.916997634107247,527,415,120
137,1.4854499774519354,977,336,178
182,8.588409191695973,601,608,707
399,1.8056624978780746,149,332,404
283,6.592518580844626,436,201,73
361,3.58170971297659,266,771,738
341,1.7706027592066675,36,176,59
73,9.089353045914322,555,189,242
121,2.4087308212183416,416,119,551
377,3.253873876761645,400,533,538
204,9.480083043687046,774,49,832
235,5.016043424140662,387,428,263
9,2.891107364324853,843,235,108
151,8.33755272696726,656,9,896
25,1.7943872099276632,523,64,195
337,2.33807276468724,681,758,719
2,9.37918915739283,530,210,321
349,7.590227133128792,523,263,201
363,7.099247278878465,893,534,660
89,3.9118913379497826,693,365,128
301,5.581464622169733,566,630,900
322,3.335509051801637,284,768,55
375,7.418270222842693,365,94,365
270,4.754091729409993,134,201,296
479,8.327276012860239,611,251,801
286,1.4560949578881264,556,495,343
247,3.659440392162651,901,77,152
313,2.296850491547957,450,445,487
329,4.048756396397948,751,856,222
383,4.96100391051732,634,584,458
466,2.2695405180566013,159,739,695
212,3.4893822574522346,423,353,148
104,9.99417428392917,502,124,573
372,9.577664596727118,621,722,858
405,2.124771354254335,315,231,120
133,3.9771029385738075,316,41,399
319,6.6763316572178155,666,800,551
259,4.297523615183309,591,854,765
81,4.0798162028659135,222,938,308
179,3.280435522319749,45,377,669
246,6.632274102652445,903,494,433
178,4.511414357228205,527,765,550
466,3.1467119865119457,634,443,512
469,8.345438551390544,134,717,843
299,9.355592182604596,752,172,377
54,6.659696068847552,677,920,29
406,6.343793514650315,21,127,415
386,1.3373073134571314,764,804,649
369,1.902107781264931,72,41,203
338,7.743301949929446,839,621,816
172,8.948974010767415,982,307,812
442,2.6153801227919757,736,578,490
433,8.094007155159488,263,183,729
323,6.312505569541827,777,932,487
476,5.341075851116329,284,428,47
49,8.61278651538305,540,694,202
398,3.30425409367308,211,292,346
120,9.796750117558986,12,233,530
22,3.432807591976598,772,168,390
23,7.168612862704322,798,42,978
319,9.96556862955913,123,818,624
209,6.982296583009884,518,940,634
23,8.943384163547307,261,854,274
175,5.385732588125393,289,548,130
27,5.128609881736338,657,59,751
343,7.934789543272927,537,805,251
372,5.124525462044403,327,874,86
16,5.268740535946563,465,853,624
143,8.120890288613737,470,401,105
58,6.943139688344672,570,558,952
84,3.1293068472296,622,867,742
371,9.684354552300647,649,457,344
172,5.0363548186142,324,708,528
341,5.941538351820782,38,231,316
182,3.2494046837091446,106,265,241
38,4.841759578092024,845,472,695
127,5.751996797509491,339,715,491
495,4.610811906168237,299,373,183
376,9.920586090069264,804,492,819
205,6.642594771459699,461,175,944
240,7.845120626268908,258,242,404
214,4.548543189652264,284,754,909
400,1.3040237294044346,566,575,930
456,2.2968063859734684,971,334,982
265,7.263790064724162,562,807,392
58,5.8032019613310695,216,494,271
415,1.0727951359003782,715,922,54
344,3.9659244888462126,651,46,589
25,6.544525492237881,903,902,15
303,7.456420538946986,492,350,683
145,9.802452984265983,748,930,794
232,8.545784569578245,639,488,622
199,8.338899103691801,69,359,141
160,5.693617147859186,424,126,87
278,8.14718509837985,648,352,59
200,2.648932753363624,228,377,326
449,8.933878347743303,355,276,770
423,2.912368893623352,148,515,993
140,6.591914170188829,329,843,780
475,2.708284930093214,284,358,942
299,5.9758168279659,415,204,541
294,5.704254606505856,953,977,362
470,5.085475562373176,804,43,781
161,4.906477857613936,712,441,960
484,2.084142498904839,468,61,429
337,6.601644788635895,748,755,988
408,9.26588138542138,392,420,858
15,7.117599981836975,924,645,984
372,1.8656328902579844,416,67,541
161,1.971689417026937,558,415,183
17,2.3522512861527503,571,71,332
327,6.332980455132201,890,952,559
314,8.41267479234375,809,794,161
395,7.280774602200836,470,540,632
180,2.9768156581558287,909,511,44
128,8.248048851732165,919,367,147
38,7.039452420314774,559,711,631
467,2.3114969222806394,530,494,576
15,8.000442828284577,207,58,356
172,5.56584153836593,395,313,268
117,7.925842456752434,323,46,663
373,2.418964295182377,789,991,122
113,2.571731047704816,633,529,911
59,7.634264208609238,326,838,394
312,9.653813040815294,399,447,976
471,2.736243761377409,871,232,342
76,3.026326732477173,369,518,18
151,2.284195230109617,308,530,215
397,6.967812949791551,939,409,640
273,1.472514406312257,438,755,389
194,1.2838407310191542,808,621,399
442,8.950827601598576,775,306,955
353,7.726061309687793,141,404,139
422,4.3433297604788095,223,626,850
96,1.3081731696147472,290,680,184
489,7.522500473307446,839,516,979
363,2.076725830556825,521,822,554
343,6.934816202847287,960,688,356
197,9.669906594557688,521,794,291
341,2.6817275614012033,186,573,807
232,1.4044289905577898,903,500,326
80,3.946852379711345,796,432,7
395,5.12249269336462,467,575,547